Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,143.796,145.452,139.772,140.503,527900,0.0,0.0
2021-01-05,142.492,143.167,140.309,140.808,827000,0.0,0.0
2021-01-06,142.436,146.645,141.585,146.191,1006700,0.0,0.0
2021-01-07,148.402,151.02,147.838,150.752,510900,0.0,0.0
2021-01-08,151.029,151.529,143.888,144.989,664200,0.0,0.0
2021-01-11,143.74,150.493,143.74,149.235,541400,0.0,0.0
2021-01-12,149.346,151.797,148.726,151.168,436400,0.0,0.0
2021-01-13,150.308,151.445,148.467,150.705,563300,0.0,0.0
2021-01-14,151.029,151.704,149.318,149.642,373600,0.0,0.0
2021-01-15,148.874,148.874,146.543,147.375,421000,0.0,0.0
2021-01-19,149.124,149.956,146.867,147.782,412700,0.0,0.0
2021-01-20,148.143,149.41,147.135,147.422,412000,0.0,0.0
2021-01-21,147.792,148.781,146.413,147.782,296600,0.0,0.0
2021-01-22,147.366,147.708,144.749,144.924,468400,0.0,0.0
2021-01-25,144.277,145.081,142.038,144.231,388000,0.0,0.0
2021-01-26,145.1,145.544,143.324,143.713,307200,0.0,0.0
2021-01-27,140.457,140.762,136.341,137.515,430900,0.0,0.0
2021-01-28,139.828,144.388,138.764,142.732,385500,0.0,0.0
2021-01-29,141.594,142.279,139.06,139.55,421000,0.0,0.0
2021-02-01,141.816,142.223,138.218,141.576,381700,0.0,0.0
2021-02-02,143.324,145.396,141.15,144.286,456000,0.0,0.0
2021-02-03,147.995,155.349,147.227,153.924,925500,0.0,0.0
2021-02-04,153.721,157.189,150.289,157.023,730400,0.0,0.0
2021-02-05,158.743,160.177,156.912,160.103,667900,0.0,0.0
2021-02-08,159.863,162.406,157.966,161.768,531400,0.0,0.0
2021-02-09,161.352,161.722,158.632,159.594,491100,0.0,0.0
2021-02-10,161.435,163.146,159.826,161.527,511400,0.0,0.0
2021-02-11,161.102,161.481,157.735,160.353,434300,0.0,0.0
2021-02-12,159.511,164.043,159.419,163.932,252600,0.0,0.0
2021-02-16,164.478,165.856,163.84,165.671,465100,0.0,0.0
2021-02-17,164.682,165.551,161.962,162.314,345900,0.0,0.0
2021-02-18,161.315,162.397,158.808,159.622,398800,0.0,0.0
2021-02-19,160.408,163.535,160.408,162.249,616000,0.0,0.0
2021-02-22,160.704,160.806,158.494,159.382,577300,0.0,0.0
2021-02-23,158.993,163.165,156.209,162.554,601000,0.0,0.0
2021-02-24,162.6,167.78,160.713,166.976,1277100,0.0,0.0
2021-02-25,166.069,167.947,164.543,165.496,631700,0.0,0.0
2021-02-26,164.469,166.208,162.064,162.064,701900,0.0,0.0
2021-03-01,163.442,168.067,163.442,165.079,513400,0.0,0.0
2021-03-02,164.708,166.008,162.193,164.3,540500,0.62,0.0
2021-03-03,164.94,167.27,164.058,165.608,595100,0.0,0.0
2021-03-04,165.358,165.998,156.373,159.826,458700,0.0,0.0
2021-03-05,162.369,165.181,156.605,164.541,592500,0.0,0.0
2021-03-08,164.884,172.477,164.142,169.897,865600,0.0,0.0
2021-03-09,169.934,173.359,169.089,169.182,637200,0.0,0.0
2021-03-10,169.395,170.463,167.159,167.307,596100,0.0,0.0
2021-03-11,168.439,168.439,164.569,166.407,698700,0.0,0.0
2021-03-12,167.799,168.458,166.323,167.808,373200,0.0,0.0
2021-03-15,167.428,171.085,166.797,170.797,420700,0.0,0.0
2021-03-16,171.66,172.57,167.539,167.567,538800,0.0,0.0
2021-03-17,166.954,169.015,166.147,168.124,363200,0.0,0.0
2021-03-18,167.799,169.544,167.121,168.532,603800,0.0,0.0
2021-03-19,167.446,168.764,164.773,166.62,1330600,0.0,0.0
2021-03-22,165.284,168.365,164.263,167.474,356700,0.0,0.0
2021-03-23,166.741,168.3,163.204,164.114,428600,0.0,0.0
2021-03-24,165.089,167.196,164.003,164.383,401000,0.0,0.0
2021-03-25,164.782,168.811,162.1,168.551,535300,0.0,0.0
2021-03-26,168.978,170.574,167.632,170.454,306100,0.0,0.0
2021-03-29,169.108,171.929,169.015,169.386,582300,0.0,0.0
2021-03-30,169.423,172.152,169.117,171.883,397400,0.0,0.0
2021-03-31,171.716,172.978,170.305,170.463,414900,0.0,0.0
2021-04-01,170.389,175.252,168.783,174.566,850900,0.0,0.0
2021-04-05,175.679,178.297,175.02,177.239,449800,0.0,0.0
2021-04-06,175.837,178.993,175.837,178.501,494800,0.0,0.0
2021-04-07,179.058,179.058,175.865,176.914,323200,0.0,0.0
2021-04-08,175.828,178.64,175.262,178.185,452300,0.0,0.0
2021-04-09,178.863,183.597,177.823,182.975,915300,0.0,0.0
2021-04-12,183.235,184.414,181.481,182.427,491200,0.0,0.0
2021-04-13,181.295,181.787,178.371,179.736,611300,0.0,0.0
2021-04-14,179.661,181.88,178.427,180.673,722600,0.0,0.0
2021-04-15,182.13,185.37,181.815,184.2,525100,0.0,0.0
2021-04-16,185.778,186.511,183.476,184.339,416700,0.0,0.0
2021-04-19,185.184,186.511,183.764,184.339,539700,0.0,0.0
2021-04-20,184.739,185.166,182.335,183.82,518800,0.0,0.0
2021-04-21,183.894,185.193,183.383,184.924,555200,0.0,0.0
2021-04-22,185.917,186.53,183.337,185.639,639200,0.0,0.0
2021-04-23,186.595,188.34,186.047,187.644,407500,0.0,0.0
2021-04-26,188.043,188.878,186.047,186.372,570900,0.0,0.0
2021-04-27,185.648,190.735,185.49,189.574,1075800,0.0,0.0
2021-04-28,190.419,201.4,190.419,196.23,1188200,0.0,0.0
2021-04-29,197.613,199.682,196.155,199.311,547700,0.0,0.0
2021-04-30,199.432,201.195,197.186,198.791,683000,0.0,0.0
2021-05-03,199.84,200.017,197.52,198.364,603300,0.0,0.0
2021-05-04,197.854,199.376,197.148,199.283,674600,0.0,0.0
2021-05-05,200.072,201.195,197.613,200.416,805800,0.0,0.0
2021-05-06,201.214,204.555,200.072,204.528,419100,0.0,0.0
2021-05-07,203.154,206.755,202.745,205.558,388800,0.0,0.0
2021-05-10,207.284,209.948,205.586,205.669,469300,0.0,0.0
2021-05-11,204.407,204.407,200.676,202.718,546800,0.0,0.0
2021-05-12,202.727,202.996,199.191,199.515,483600,0.0,0.0
2021-05-13,199.942,205.456,199.153,204.611,443400,0.0,0.0
2021-05-14,205.279,206.133,203.089,203.33,537700,0.0,0.0
2021-05-17,203.46,206.161,201.752,205.094,368500,0.0,0.0
2021-05-18,205.317,205.716,200.499,200.546,414600,0.0,0.0
2021-05-19,198.791,200.713,196.833,200.509,496800,0.0,0.0
2021-05-20,200.843,203.21,200.091,201.409,407400,0.0,0.0
2021-05-21,202.226,203.785,200.601,201.065,499300,0.0,0.0
2021-05-24,202.773,204.082,201.362,203.098,460800,0.0,0.0
2021-05-25,203.46,203.729,199.933,201.39,598200,0.0,0.0
2021-05-26,201.455,201.975,198.791,201.149,856500,0.0,0.0
