Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,60.929,60.929,59.638,59.979,2975500,0.0,0.0
2021-01-05,60.15,60.231,58.981,59.257,3466900,0.0,0.0
2021-01-06,59.687,61.27,59.175,60.523,4112100,0.0,0.0
2021-01-07,60.547,60.718,59.224,59.224,4126600,0.0,0.0
2021-01-08,59.492,59.533,58.964,59.419,3476800,0.0,0.0
2021-01-11,59.249,59.606,58.469,58.989,2949800,0.0,0.0
2021-01-12,59.175,59.257,57.487,58.063,3801200,0.0,0.0
2021-01-13,58.242,58.924,57.852,58.64,4364100,0.0,0.0
2021-01-14,58.68,58.697,57.633,57.649,3461300,0.0,0.0
2021-01-15,57.633,58.672,57.39,58.51,3407400,0.0,0.0
2021-01-19,58.607,58.607,57.584,57.601,3670800,0.0,0.0
2021-01-20,57.39,58.234,57.195,58.104,3552000,0.0,0.0
2021-01-21,57.925,58.461,57.601,58.283,3185400,0.0,0.0
2021-01-22,57.917,58.835,57.804,58.68,4152900,0.0,0.0
2021-01-25,58.494,59.809,58.388,59.711,4057600,0.0,0.0
2021-01-26,60.003,60.052,59.289,59.776,3393600,0.0,0.0
2021-01-27,59.46,60.426,59.078,59.322,4657200,0.0,0.0
2021-01-28,59.37,60.312,58.973,58.989,3124000,0.0,0.0
2021-01-29,58.761,59.727,58.283,59.167,4330700,0.0,0.0
2021-02-01,59.378,59.736,58.81,58.997,3480100,0.0,0.0
2021-02-02,58.989,59.817,58.55,59.07,3922300,0.0,0.0
2021-02-03,58.851,59.232,58.721,58.908,3054700,0.0,0.0
2021-02-04,58.891,59.224,58.55,59.005,2171600,0.0,0.0
2021-02-05,59.208,60.166,58.908,59.857,3011500,0.0,0.0
2021-02-08,59.776,59.955,59.435,59.93,3008200,0.0,0.0
2021-02-09,60.06,60.198,59.273,59.346,2308100,0.0,0.0
2021-02-10,59.719,59.76,58.956,59.33,3749200,0.0,0.0
2021-02-11,59.265,59.663,59.086,59.305,2751100,0.0,0.0
2021-02-12,59.029,60.052,58.136,58.339,4866100,0.0,0.0
2021-02-16,58.274,58.38,57.511,57.739,4528400,0.0,0.0
2021-02-17,57.666,58.81,57.576,58.761,3557800,0.0,0.0
2021-02-18,58.575,59.63,58.502,59.021,3668300,0.0,0.0
2021-02-19,59.062,59.078,57.69,57.755,3310000,0.0,0.0
2021-02-22,57.747,57.934,57.146,57.771,4908100,0.0,0.0
2021-02-23,58.307,59.086,57.893,58.477,4621200,0.0,0.0
2021-02-24,58.339,58.477,57.576,57.771,3799800,0.0,0.0
2021-02-25,57.771,58.226,57.268,57.333,3678500,0.0,0.0
2021-02-26,57.382,57.69,55.352,55.458,7575800,0.0,0.0
2021-03-01,56.343,57.284,56.172,56.765,3971900,0.0,0.0
2021-03-02,56.821,57.033,56.026,56.659,3995100,0.0,0.0
2021-03-03,56.334,56.894,55.831,56.481,5016300,0.0,0.0
2021-03-04,56.481,57.193,55.579,55.702,5721500,0.63,0.0
2021-03-05,56.153,57.423,55.612,57.226,8083300,0.0,0.0
2021-03-08,57.341,59.798,57.103,58.979,11148200,0.0,0.0
2021-03-09,59.143,60.109,58.905,59.749,6027000,0.0,0.0
2021-03-10,59.757,60.544,59.561,59.97,4858900,0.0,0.0
2021-03-11,59.716,60.281,59.249,59.331,3147400,0.0,0.0
2021-03-12,59.724,60.519,59.52,60.24,3476900,0.0,0.0
2021-03-15,60.216,61.141,60.216,61.06,3213800,0.0,0.0
2021-03-16,60.683,61.248,60.486,60.855,4107700,0.0,0.0
2021-03-17,60.945,60.945,59.88,59.937,3756200,0.0,0.0
2021-03-18,60.085,60.519,59.618,60.208,3115900,0.0,0.0
2021-03-19,60.183,60.732,59.601,60.085,9090700,0.0,0.0
2021-03-22,60.126,60.56,59.749,60.208,3366300,0.0,0.0
2021-03-23,60.298,61.06,60.085,60.765,3245600,0.0,0.0
2021-03-24,60.322,61.207,60.24,60.748,2379500,0.0,0.0
2021-03-25,61.051,62.395,60.855,61.617,4310100,0.0,0.0
2021-03-26,61.617,62.157,61.101,62.075,3613200,0.0,0.0
2021-03-29,61.879,63.312,61.862,62.829,4223600,0.0,0.0
2021-03-30,62.403,62.477,61.527,61.871,2661900,0.0,0.0
