Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,21.087,21.292,20.361,20.583,8041600,0.0,0.0
2021-01-05,20.558,21.104,20.558,20.882,7856500,0.0,0.0
2021-01-06,21.019,21.668,21.019,21.309,8471800,0.0,0.0
2021-01-07,21.574,22.026,21.394,21.984,9288400,0.0,0.0
2021-01-08,21.932,22.146,21.676,21.796,7514100,0.0,0.0
2021-01-11,21.77,22.137,21.634,22.009,8907000,0.0,0.0
2021-01-12,22.052,22.325,21.984,22.12,7280700,0.0,0.0
2021-01-13,22.188,22.231,21.941,21.949,6596600,0.0,0.0
2021-01-14,21.838,22.137,21.821,21.873,8290500,0.0,0.0
2021-01-15,21.736,21.83,21.335,21.488,8364600,0.0,0.0
2021-01-19,21.565,21.668,21.335,21.463,6794200,0.0,0.0
2021-01-20,21.531,21.616,21.386,21.514,6270500,0.0,0.0
2021-01-21,21.693,21.719,21.326,21.651,7160000,0.0,0.0
2021-01-22,21.437,21.642,21.318,21.574,6684500,0.0,0.0
2021-01-25,21.531,21.574,20.84,21.36,9953100,0.0,0.0
2021-01-26,21.505,21.651,20.822,21.019,11548300,0.0,0.0
2021-01-27,20.643,21.548,20.626,21.215,12948600,0.0,0.0
2021-01-28,21.326,21.642,21.215,21.232,9292900,0.0,0.0
2021-01-29,21.147,21.335,20.549,20.78,14666900,0.0,0.0
2021-02-01,20.899,20.985,20.575,20.899,9353000,0.0,0.0
2021-02-02,21.155,21.343,21.062,21.249,5952800,0.0,0.0
2021-02-03,21.224,21.634,21.147,21.54,6300500,0.0,0.0
2021-02-04,21.523,22.163,21.437,22.154,6963400,0.0,0.0
2021-02-05,22.197,22.692,22.154,22.325,7267500,0.0,0.0
2021-02-08,22.513,23.358,22.462,23.307,8426300,0.0,0.0
2021-02-09,23.332,23.52,23.128,23.128,7065500,0.0,0.0
2021-02-10,23.23,23.503,23.0,23.179,6267500,0.0,0.0
2021-02-11,23.307,23.461,22.991,23.375,6265600,0.0,0.0
2021-02-12,23.375,23.478,23.247,23.469,3941200,0.0,0.0
2021-02-16,23.503,23.631,23.051,23.187,6380700,0.0,0.0
2021-02-17,23.051,23.119,22.393,22.436,9402800,0.0,0.0
2021-02-18,22.274,22.581,22.163,22.547,7345300,0.0,0.0
2021-02-19,22.795,23.17,22.752,23.136,8979600,0.0,0.0
2021-02-22,23.042,23.35,22.88,23.153,9524800,0.0,0.0
